Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,9.4578E-07,-0.00011719,0.022304,0,0,0,0.096037,0.00013766,7.732E-08,3.1334E-08,0.00012799,-3.9138E-06,0.00020798,0,0,0,0,0,0,package://mums_assistant/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mums_assistant/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.001372,0.0092351,0.01597,0,0,0,0.068038,4.5018E-05,-1.6766E-06,-6.0475E-06,5.6329E-05,-5.458E-06,5.648E-05,0,0,0,0,0,0,package://mums_assistant/meshes/link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mums_assistant/meshes/link_1.STL,,Waist-1,Origin_joint_1,Axis_joint_1,joint_1,revolute,0,0,0.056,0.16801,0,0,base_link,0,0.16722,0.98592,0.92,6.16,-1.57,1.57,,,0,0,,,,
link_2,0.00087602,-0.0037688,0.058584,0,0,0,0.064393,0.00010701,-4.3528E-09,-1.683E-06,0.00011184,-2.3957E-07,9.1389E-06,0,0,0,0,0,0,package://mums_assistant/meshes/link_2.STL,0,0.2549,0.92157,1,0,0,0,0,0,0,package://mums_assistant/meshes/link_2.STL,,Arm 01-1,Origin_joint_2,Axis_joint_2,joint_2,revolute,0.013919,0.006735,0.039709,-0.16801,0,0,link_1,0,-1,0,0.92,6.16,-1.57,1.57,,,0,0,,,,
link_3,0.039285,0.011409,2.7846E-05,0,0,0,0.050268,9.2868E-06,-2.8753E-07,-6.9585E-08,5.8149E-05,-5.4203E-11,5.4601E-05,0,0,0,0,0,0,package://mums_assistant/meshes/link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mums_assistant/meshes/link_3.STL,,Arm 02 v3_r1-1,Origin_joint_3,Axis_joint_3,joint_3,revolute,0.0020606,0,0.11998,0,0.00077559,0,link_2,0,1,0,0.92,6.16,-1.57,1.57,,,0,0,,,,
link_4,0.017859,-0.0052646,0.0050459,0,0,0,0.016499,2.6124E-06,5.7579E-07,1.1583E-08,5.0223E-06,-3.9825E-09,3.9122E-06,0,0,0,0,0,0,package://mums_assistant/meshes/link_4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mums_assistant/meshes/link_4.STL,,Arm 03-1,Origin_joint_4,Axis_joint_4,joint_4,revolute,0.089732,0.0115,-0.0051,0.017845,0,0,link_3,1,0,0,0.098,8.73,-1.57,1.57,,,0,0,,,,
link_5,-0.0058941,-0.012023,0.023532,0,0,0,0.015721,8.1067E-06,3.5504E-07,1.3823E-06,7.2474E-06,-1.4274E-06,2.5695E-06,0,0,0,0,0,0,package://mums_assistant/meshes/link_5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mums_assistant/meshes/link_5.STL,,Gripper base-1,Origin_joint_5,Axis_joint_5,joint_5,revolute,0.028118,0,0.005,0,0,0,link_4,0,1,0,0.098,8.73,-1.57,1.57,,,0,0,,,,
gripper_link_1,-0.0061409,0.0039809,0.038541,0,0,0,0.0079633,2.1601E-06,-1.4003E-11,5.0583E-13,1.9347E-06,2.0596E-07,2.9726E-07,0,0,0,0,0,0,package://mums_assistant/meshes/gripper_link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mums_assistant/meshes/gripper_link_1.STL,,gear2-1;Gripper 1_r1-1,Origin_gripper_joint_1,Axis_gripper_joint_1,gripper_joint_1,revolute,-0.0057476,0.004,0.037981,0,-0.0032835,0,link_5,-1,0,0,0.05,8.73,-1.57,1.57,,,0,0,,,,
gripper_link_2,-0.006061,0.0040629,0.039426,0,0,0,0.0080391,2.1612E-06,-1.3965E-11,7.2299E-13,1.9156E-06,-3.9649E-07,3.1758E-07,0,0,0,0,0,0,package://mums_assistant/meshes/gripper_link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mums_assistant/meshes/gripper_link_2.STL,,gear1_r1-1;Gripper 1-1,Origin_gripper_joint_2,Axis_gripper_joint_2,gripper_joint_2,revolute,-0.0058674,-0.023,0.037981,0,-0.0032835,0,link_5,-1,0,0,0.05,8.73,-1.57,1.57,,,0,0,,,,
